#,Epic,Task,Status,Priority,MVP-yes/no,Remarks,Sprint
1,App Foundations & Setup,Initialize Flutter project with lint rules,To Do,High,Yes,First setup task,Sprint 0
2,App Foundations & Setup,"Setup folder structure (screens, models, services)",To Do,High,Yes,Pre-requisite for all,Sprint 0
3,App Foundations & Setup,"Configure dependencies (http, just_audio, shared_preferences, dio)",To Do,High,Yes,Required for networking + playback,Sprint 0
4,App Foundations & Setup,Implement base navigation skeleton,To Do,High,Yes,Surah List → modal → player,Sprint 0
5,App Foundations & Setup,"Setup environment configs (API URLs, TTS endpoint)",To Do,High,Yes,Needed before API integration,Sprint 0
6,App Foundations & Setup,Create task template & workflow in Jira,To Do,Medium,Yes,Definition of Done included,Sprint 0
7,Design & UX,Create low-fidelity wireframes for MVP screens,To Do,High,Yes,Wireframes only,Sprint 0
8,Surah List,Design Surah List screen wireframe,To Do,Medium,Yes,Prepare UI layout,Sprint 1
9,Surah List,Implement static list of 114 surahs,To Do,High,Yes,Placeholder for API data,Sprint 1
10,Surah List,Fetch surah list from Quran API,To Do,High,Yes,Replace static data,Sprint 1
11,Surah List,Implement search bar (by name/number),To Do,Medium,Yes,Client-side filtering,Sprint 1
12,Surah List,Add download indicator icon for surahs,To Do,Medium,Yes,Reflects offline availability,Sprint 1
13,Surah List,Add favorite (♥️) toggle,To Do,Medium,Yes,Connects to Favorites,Sprint 1
14,Surah List,Tap surah → open Audio Config modal,To Do,High,Yes,Navigation link,Sprint 1
15,Audio Config,Design Audio Config modal wireframe,To Do,Medium,Yes,UI layout planning,Sprint 2
16,Audio Config,Build modal UI with dropdowns and range selector,To Do,High,Yes,Core user feature,Sprint 2
17,Audio Config,Implement surah range picker (start/end ayah),To Do,High,Yes,Verse selection,Sprint 2
18,Audio Config,Populate reciters dropdown from API,To Do,High,Yes,Placeholder API,Sprint 2
19,Audio Config,Populate translation language dropdown,To Do,High,Yes,Dropdown static for MVP,Sprint 2
20,Audio Config,Load translation versions based on selected language,To Do,High,Yes,Dynamic version selection,Sprint 2
21,Audio Config,Save user selections to local storage,To Do,High,Yes,Preference persistence,Sprint 2
22,Audio Config,Pre-populate modal with last-used defaults,To Do,Medium,Yes,Enhances usability,Sprint 2
23,Audio Config,Implement Play → open Media Player,To Do,High,Yes,Navigation,Sprint 2
24,Media Player,Design Media Player screen wireframe,To Do,Medium,Yes,UI baseline,Sprint 3
25,Media Player,"Build player UI layout (Play/Pause, Next/Previous, Progress, Speed)",To Do,High,Yes,Core controls,Sprint 3
26,Media Player,Integrate Arabic audio streaming,To Do,High,Yes,Core playback,Sprint 3
27,Media Player,Integrate translation audio (from backend cache),To Do,High,Yes,Requires TTS backend,Sprint 3
28,Media Player,Implement playback sequence Arabic → pause → Translation,To Do,High,Yes,Memorization pattern,Sprint 3
29,Media Player,Implement Next/Previous verse navigation,To Do,Medium,Yes,Verse control,Sprint 3
30,Media Player,Implement playback speed adjustment,To Do,Medium,Yes,0.5x–2x,Sprint 3
31,Media Player,Implement progress indicator sync,To Do,Medium,Yes,Shows current verse,Sprint 3
32,Media Player,Handle playback errors (network failure),To Do,High,Yes,Fallback UI/Snackbar,Sprint 3
33,Media Player,Keep screen awake while playing,To Do,Low,Yes,Use wakelock,Sprint 3
34,Media Player,Manual testing checklist for player,To Do,High,Yes,Create and run,Sprint 3
35,Downloads,Implement pre-playback prompt: download or stream,To Do,High,Yes,Dialog confirmation,Sprint 4
36,Downloads,Implement background download logic,To Do,High,Yes,Save to local storage,Sprint 4
37,Downloads,Store downloaded audio in device,To Do,High,Yes,Persistence,Sprint 4
38,Downloads,"Check/play local file if downloaded, else stream",To Do,High,Yes,Fallback logic,Sprint 4
